match_id,date,batter,batting_team,bowling_team,venue,rolling_avg_10,venue_avg,pvt_avg,pvp_avg,career_avg,next_match_runs
501232,2011-04-29,AB de Villiers,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,26.6,30.456521739130434,32.958333333333336,1.2,26.870967741935484,27.0
501231,2011-04-29,KA Pollard,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,17.7,12.2,25.0,0.8571428571428571,17.0625,20.0
501231,2011-04-29,LRPL Taylor,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,14.5,16.666666666666668,19.75,0.38461538461538464,21.392857142857142,47.0
501232,2011-04-29,M Kaif,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,11.7,8.8,8.0,0.0,12.0,3.0
501231,2011-04-29,SR Watson,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,31.7,30.17241379310345,17.0,1.4,31.791666666666668,12.0
501232,2011-04-29,MK Pandey,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,11.1,28.1,15.0,0.25,21.047619047619047,30.0
501231,2011-04-29,A Symonds,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,23.7,17.0,46.0,0.7333333333333333,31.0,4.0
501232,2011-04-29,JD Ryder,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,26.1,42.5,6.333333333333333,2.3333333333333335,19.09090909090909,18.0
501232,2011-04-29,CH Gayle,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,38.0,36.523809523809526,35.75,2.0,33.55555555555556,107.0
501231,2011-04-29,RG Sharma,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,33.5,5.0,35.0,0.95,28.333333333333332,18.0
501232,2011-04-29,M Manhas,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,16.4,6.666666666666667,11.5,0.5,15.95,24.0
501233,2011-04-30,NV Ojha,Delhi Daredevils,Kochi Tuskers Kerala,Nehru Stadium,10.3,0.0,29.666666666666668,0.875,21.482758620689655,13.0
501234,2011-04-30,KD Karthik,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,13.5,25.391304347826086,12.333333333333334,1.25,19.05,1.0
501234,2011-04-30,SE Marsh,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,35.4,15.333333333333334,40.0,1.875,49.578947368421055,61.0
501233,2011-04-30,IK Pathan,Delhi Daredevils,Kochi Tuskers Kerala,Nehru Stadium,12.0,13.0,5.777777777777778,2.3333333333333335,15.926829268292684,5.0
501234,2011-04-30,MK Tiwary,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,31.6,21.458333333333332,49.666666666666664,0.75,22.666666666666668,33.0
501234,2011-04-30,AM Nayar,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,10.5,0.0,6.5,1.0,17.24137931034483,14.0
501234,2011-04-30,P Kumar,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,5.2,4.2,8.333333333333334,2.0,7.666666666666667,2.0
501234,2011-04-30,DJ Hussey,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,14.1,20.384615384615383,21.0,0.8888888888888888,22.125,1.0
501233,2011-04-30,DPMD Jayawardene,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,26.6,22.2,19.0,1.6,23.261904761904763,7.0
501233,2011-04-30,R Vinay Kumar,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,7.3,14.5,2.5,1.0,6.7,3.0
501233,2011-04-30,Y Venugopal Rao,Delhi Daredevils,Kochi Tuskers Kerala,Nehru Stadium,24.1,1.0,13.11111111111111,0.25,19.848484848484848,40.0
501234,2011-04-30,AC Gilchrist,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,21.5,18.0,27.666666666666668,0.8108108108108109,26.88235294117647,0.0
501233,2011-04-30,BJ Hodge,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,16.9,21.6,5.0,1.6,22.384615384615383,24.0
501233,2011-04-30,V Sehwag,Delhi Daredevils,Kochi Tuskers Kerala,Nehru Stadium,30.0,80.0,25.0,0.8421052631578947,25.391304347826086,15.0
501233,2011-04-30,BB McCullum,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,26.6,20.0,15.666666666666666,1.6666666666666667,28.0,37.0
501234,2011-04-30,G Gambhir,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,31.5,29.93617021276596,29.833333333333332,0.125,28.391304347826086,35.0
501233,2011-04-30,S Sreesanth,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,3.3,0.0,15.0,0.0,3.6666666666666665,1.0
501233,2011-04-30,RE van der Merwe,Delhi Daredevils,Kochi Tuskers Kerala,Nehru Stadium,9.1,2.0,21.5,1.0909090909090908,12.090909090909092,2.0
501233,2011-04-30,RA Jadeja,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,25.4,20.2,16.4,1.5,21.20689655172414,8.0
501233,2011-04-30,DA Warner,Delhi Daredevils,Kochi Tuskers Kerala,Nehru Stadium,24.6,3.0,47.68421052631579,1.5,27.32,13.0
501233,2011-04-30,PA Patel,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,16.4,11.4,14.333333333333334,1.125,19.15625,37.0
501234,2011-04-30,JH Kallis,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,27.5,28.85,37.4,0.0,28.081632653061224,30.0
501236,2011-05-01,S Badrinath,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",34.4,17.52,11.2,1.4545454545454546,22.325581395348838,54.0
